# rag-service RAG-MEM-DURABILITY-BAR v2 window — cleaned sample series
# container_id=66656926d503a722aaf223408806a7f0b5fd9fb97e928b5197dd9759365ccaa8
# image=sha256:26e681b0ca3a83c87f7eda787c963d0b7ee18094d805cfbc1862a5db18b3fe8c
# started_at=2026-08-14T20:15:29.147681344Z  restart_count=0  mem_limit_bytes=1073741824
# source=/tmp/rag-durability-measurement/memory-samples.csv (ephemeral; 2391 raw lines, 799 well-formed)
# cleaning=kept only lines matching ^ISO8601,<float>,running$ — raw file corrupted by 3 concurrent samplers writing 2 schemas
# persisted_by=po 2026-08-15T09:5xZ  timestamps strictly monotonic, 0 backward steps
timestamp,used_percent,container_status
2026-08-15T02:40:20Z,44.58,running
2026-08-15T02:41:21Z,44.58,running
2026-08-15T02:42:22Z,44.58,running
2026-08-15T02:43:23Z,44.58,running
2026-08-15T02:44:24Z,44.58,running
2026-08-15T02:45:25Z,44.58,running
2026-08-15T02:46:27Z,44.58,running
2026-08-15T02:47:28Z,44.58,running
2026-08-15T02:48:29Z,44.58,running
2026-08-15T02:49:30Z,44.58,running
2026-08-15T02:50:31Z,44.58,running
2026-08-15T02:51:32Z,44.58,running
2026-08-15T02:52:34Z,95.77,running
2026-08-15T02:53:35Z,88.05,running
2026-08-15T02:54:36Z,88.16,running
2026-08-15T02:55:38Z,88.24,running
2026-08-15T02:56:39Z,88.29,running
2026-08-15T02:57:40Z,88.29,running
2026-08-15T02:58:41Z,88.29,running
2026-08-15T02:59:42Z,88.29,running
2026-08-15T03:00:44Z,88.68,running
2026-08-15T03:01:45Z,88.68,running
2026-08-15T03:02:46Z,88.68,running
2026-08-15T03:03:48Z,88.68,running
2026-08-15T03:04:49Z,88.68,running
2026-08-15T03:05:50Z,88.68,running
2026-08-15T03:06:51Z,88.68,running
2026-08-15T03:07:52Z,88.68,running
2026-08-15T03:08:54Z,88.59,running
2026-08-15T03:09:55Z,88.59,running
2026-08-15T03:10:57Z,88.59,running
2026-08-15T03:11:58Z,88.59,running
2026-08-15T03:12:59Z,88.59,running
2026-08-15T03:14:00Z,88.59,running
2026-08-15T03:15:01Z,88.59,running
2026-08-15T03:16:02Z,41.09,running
2026-08-15T03:17:04Z,43.79,running
2026-08-15T03:18:06Z,44.57,running
2026-08-15T03:19:07Z,46.91,running
2026-08-15T03:20:08Z,47.88,running
2026-08-15T03:21:09Z,48.09,running
2026-08-15T03:22:10Z,48.29,running
2026-08-15T03:23:11Z,48.31,running
2026-08-15T03:24:12Z,84.37,running
2026-08-15T03:25:14Z,83.85,running
2026-08-15T03:26:16Z,84.17,running
2026-08-15T03:27:17Z,84.16,running
2026-08-15T03:28:18Z,84.16,running
2026-08-15T03:29:19Z,84.16,running
2026-08-15T03:30:20Z,84.95,running
2026-08-15T03:31:21Z,84.44,running
2026-08-15T03:32:22Z,84.44,running
2026-08-15T03:33:25Z,84.44,running
2026-08-15T03:34:26Z,84.44,running
2026-08-15T03:35:27Z,84.44,running
2026-08-15T03:36:28Z,84.44,running
2026-08-15T03:37:29Z,84.44,running
2026-08-15T03:38:30Z,84.44,running
2026-08-15T03:39:31Z,84.44,running
2026-08-15T03:40:33Z,84.49,running
2026-08-15T03:41:35Z,84.49,running
2026-08-15T03:42:36Z,84.49,running
2026-08-15T03:43:37Z,84.88,running
2026-08-15T03:44:38Z,76.31,running
2026-08-15T03:45:39Z,76.79,running
2026-08-15T03:46:40Z,77.17,running
2026-08-15T03:47:41Z,77.37,running
2026-08-15T03:48:43Z,77.37,running
2026-08-15T03:49:45Z,77.37,running
2026-08-15T03:50:46Z,77.37,running
2026-08-15T03:51:47Z,77.37,running
2026-08-15T03:52:48Z,77.37,running
2026-08-15T03:53:49Z,77.37,running
2026-08-15T03:54:50Z,38.77,running
2026-08-15T03:55:51Z,82.27,running
2026-08-15T03:56:53Z,82.24,running
2026-08-15T03:57:55Z,82.24,running
2026-08-15T03:58:56Z,82.24,running
2026-08-15T03:59:57Z,82.24,running
2026-08-15T04:00:58Z,82.24,running
2026-08-15T04:01:59Z,82.24,running
2026-08-15T04:03:00Z,85.12,running
2026-08-15T04:04:01Z,86.67,running
2026-08-15T04:05:03Z,88.42,running
2026-08-15T04:06:05Z,90.37,running
2026-08-15T04:07:06Z,90.76,running
2026-08-15T04:08:07Z,90.76,running
2026-08-15T04:09:08Z,90.76,running
2026-08-15T04:10:09Z,90.76,running
2026-08-15T04:11:10Z,43.92,running
2026-08-15T04:12:11Z,44.51,running
2026-08-15T04:13:13Z,44.52,running
2026-08-15T04:14:15Z,44.52,running
2026-08-15T04:15:16Z,44.52,running
2026-08-15T04:16:17Z,44.52,running
2026-08-15T04:17:19Z,44.52,running
2026-08-15T04:18:20Z,44.52,running
2026-08-15T04:19:21Z,95.17,running
2026-08-15T04:20:23Z,94.28,running
2026-08-15T04:21:25Z,94.28,running
2026-08-15T04:22:26Z,94.28,running
2026-08-15T04:23:27Z,94.29,running
2026-08-15T04:24:28Z,94.29,running
2026-08-15T04:25:29Z,94.29,running
